pattern,pattern_counts
Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17,4
Algorithm 15 -> Algorithm 15 -> Algorithm 15 -> Algorithm 15,4
Algorithm 11 -> Algorithm 7 -> Algorithm 8 -> Algorithm 3,4
Algorithm 11 -> Algorithm 6 -> Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 14 -> Algorithm 15 -> Algorithm 11 -> Algorithm 6 -> Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 14 -> Algorithm 15,4
Algorithm 10 -> Algorithm 15 -> Algorithm 15,4
Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15,4
Algorithm 9 -> Algorithm 9 -> Algorithm 9,3
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,3
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15,3
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 13,3
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,3
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,3
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,3
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 10 -> Algorithm 10,3
Algorithm 7 -> Algorithm 3 -> Algorithm 14,3
Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15 -> Algorithm 10 -> Algorithm 15,3
Algorithm 7 -> Algorithm 10 -> Algorithm 7,3
Algorithm 7 -> Algorithm 10 -> Algorithm 17 -> Algorithm 7 -> Algorithm 10,3
Algorithm 7 -> Algorithm 10 -> Algorithm 14 -> Algorithm 14,3
Algorithm 6 -> Algorithm 7 -> Algorithm 8 -> Algorithm 8 -> Algorithm 10,3
Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,3
Algorithm 6 -> Algorithm 6 -> Algorithm 6 -> Algorithm 6 -> Algorithm 6 -> Algorithm 7 -> Algorithm 6 -> Algorithm 7 -> Algorithm 6 -> Algorithm 7 -> Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 10,3
Algorithm 6 -> Algorithm 6,3
Algorithm 3 -> Algorithm 3,3
Algorithm 2,3
Algorithm 17 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,3
Algorithm 17 -> Algorithm 7 -> Algorithm 10 -> Algorithm 15 -> Algorithm 18 -> Algorithm 19,3
Algorithm 17 -> Algorithm 7 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14,3
Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17,3
Algorithm 15 -> Algorithm 2 -> Algorithm 13,3
Algorithm 15 -> Algorithm 2,3
Algorithm 15 -> Algorithm 15 -> Algorithm 15 -> Algorithm 15 -> Algorithm 15,3
Algorithm 15 -> Algorithm 15 -> Algorithm 15,3
Algorithm 15 -> Algorithm 14,3
Algorithm 15 -> Algorithm 13 -> Algorithm 13,3
Algorithm 14 -> Algorithm 14,3
Algorithm 14 -> Algorithm 13,3
Algorithm 13 -> Algorithm 17,3
Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,3
Algorithm 11 -> Algorithm 6 -> Algorithm 7,3
Algorithm 10 -> Algorithm 7 -> Algorithm 10,3
Algorithm 10 -> Algorithm 7,3
Algorithm 8 -> Algorithm 10 -> Algorithm 15,2
Algorithm 8 -> Algorithm 10,2
Algorithm 8,2
Algorithm 7 -> Algorithm 8 -> Algorithm 9 -> Algorithm 7 -> Algorithm 8 -> Algorithm 9,2
Algorithm 7 -> Algorithm 8 -> Algorithm 9 -> Algorithm 13,2
Algorithm 7 -> Algorithm 8 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18,2
Algorithm 7 -> Algorithm 8 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,2
Algorithm 7 -> Algorithm 8 -> Algorithm 7 -> Algorithm 8,2
Algorithm 7 -> Algorithm 8 -> Algorithm 7 -> Algorithm 10 -> Algorithm 15,2
Algorithm 7 -> Algorithm 8 -> Algorithm 7,2
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 2 -> Algorithm 13,2
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15 -> Algorithm 15 -> Algorithm 2 -> Algorithm 13,2
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18 -> Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18,2
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18,2
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 2,2
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 17 -> Algorithm 18 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 17 -> Algorithm 18,2
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 15,2
